Propertyname,Address,PropertyType,Price,PSF,Floorsize,Floorlevel,Furnishing,Bedrooms,Bathrooms
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Special Freehold Unit【Palace View】22ft Huge Living Room & Furnished Kitchen,"Jalan Kiara, Mont Kiara, Kuala Lumpur",Condominium For Sale,"1,100,000",RM 791.37 psf,1390 sqft,High Floor,Partially Furnished,3,3
"3Rooms 2Bath【 Freehold & Furnished 】IN PJ Damansara, Ready to move in","Country Heights Damansara, Kuala Lumpur",Condominium For Sale,"639,000",RM 639.00 psf,1000 sqft,Middle Floor,Partially Furnished,3,2
Kondominium Greenpark,"- Jalan Awan Pintal, Taman Yarl, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",Condominium For Sale,"360,000",RM 289.86 psf,1242 sqft,n/a,Fully Furnished,3,2
Parkhill Residence Bukit Jalil,"Jalan Teknologi 1, Technology Park Malaysia, Bukit Jalil, Kuala Lumpur",Condominium For Sale,"580,000",RM 527.27 psf,1100 sqft,n/a,Fully Furnished,3,2
Setapak Next to MRT + Shopping Mall,"Setapak, Kuala Lumpur",Condominium For Sale,"380,000",RM 447.06 psf,850 sqft,n/a,n/a,3,2
Damelia Suites RM230K【1st Home get 100% Loan】 KLIA Sepang @ Horizon Suites,"Puchong, Kuala Lumpur",Condominium For Sale,"200,000",RM 400.00 psf,500 sqft,n/a,Fully Furnished,2,2
PSV 1 Residences @ Platinum South Valley,"Bandar Tasik Selatan, Kuala Lumpur",Apartment For Sale,"513,000",RM 542.28 psf,946 sqft,n/a,Unfurnished,3,2
5 Min to Mid Valley | Fully Furnished | RM3. 5k Salary to Own | Walking Distance to MRT/LRT/KTM,"Taman U-Thant, Ampang Hilir, Kuala Lumpur",Condominium For Sale,"419,999",RM 350.00 psf,1200 sqft,n/a,Fully Furnished,3,2
2 Bed 2 Bath Beside XIA MEN UNIVERSITY【RM200K! ! RM200K! ! RM200K! !】Freehold,"Jalan Stesen Sentral, KL Sentral, Kuala Lumpur",Condominium For Sale,"200,000",RM 400.00 psf,500 sqft,n/a,Fully Furnished,2,2
Danau Permai Condominiums,"- Jalan 3/109F, Taman Danau Desa, Taman Danau Desa, Taman Desa, Kuala Lumpur",Condominium For Sale,"585,000",RM 468.75 psf,1248 sqft,n/a,Partially Furnished,3,2
"Cheapest In KL【Air Bnb】5 min to Train Station, Ready Tenants, 100% Loan -KL","Ampang, Ampang Hilir, Kuala Lumpur",Condominium For Sale,"199,000",RM 398.00 psf,500 sqft,n/a,Fully Furnished,2,1
"New Freehold Invest GET 80k Subsidy, 1st Home Buyer 100% Loan GET RM10, 000 Cahback @KL","Bandar Menjalara, Kuala Lumpur",Condominium For Sale,"230,000",RM 460.00 psf,500 sqft,n/a,Fully Furnished,2,1
Wangsa Maju Freenhold Next to LRT 10 mins to KLCC Low Density,"Wangsa Maju, Kuala Lumpur",Condominium For Sale,"370,000",RM 424.31 psf,872 sqft,n/a,Partially Furnished,3,2
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"3,206,000","RM 2,383.64 psf",1345 sqft,n/a,Partially Furnished,3,2
【Expat Friendly】Spacious 4R3B + Next to MRT,"Dutamas, Mont Kiara, Kuala Lumpur",Condominium For Sale,"1,098,000",RM 757.76 psf,1449 sqft,n/a,Partially Furnished,4,3
Seni Mont Kiara,"- Changkat Duta Kiara, Mont Kiara, Kuala Lumpur",Condominium For Sale,"2,700,000",RM 929.43 psf,2905 sqft,Middle Floor,Partially Furnished,4,6
New Year Package! ! FREEHOLD 5 star condo 1900 Installment+ Fully Furnish & Lucky Draw,"Kampung Kerinchi (Bangsar South), Bangsar, Kuala Lumpur",Condominium For Sale,"468,888",RM 418.65 psf,1120 sqft,n/a,Fully Furnished,3,2
"Bangsar NEW { High Demand & Capital Gain } Condo, 100% Full Loan + Developer Wipe ALL Fees","Lucky Garden, Bangsar, Kuala Lumpur",Condominium For Sale,"472,222",RM 409.91 psf,1152 sqft,n/a,Fully Furnished,3,2
Only RM 4XXk ! ! [Super Below Market Price] FREEHOLD Walking Distance To MRT /KTM Mont Kiara,"Solaris Dutamas, Mont Kiara, Kuala Lumpur",Condominium For Sale,"428,689",RM 349.10 psf,1228 sqft,n/a,n/a,3,2
Only 430k ! ! [ Fully Furnished ] New Launch Rebate 0% Down Payment Free Lagal Fee Bangsar South,"Kerinchi, Bangsar South, Kuala Lumpur",Condominium For Sale,"429,886",RM 362.47 psf,1186 sqft,n/a,n/a,3,2
The Capers,"- Jalan Lima, Sentul, Kuala Lumpur",Condominium For Sale,"1,030,000",RM 692.20 psf,1488 sqft,n/a,Partially Furnished,3,4
The Capers,"- Jalan Lima, Sentul, Kuala Lumpur",Condominium For Sale,"1,070,000",RM 682.83 psf,1567 sqft,n/a,Fully Furnished,3,4
The Capers,"- Jalan Lima, Sentul, Kuala Lumpur",Condominium For Sale,"1,180,000",RM 575.89 psf,2049 sqft,n/a,Unfurnished,4,5
The Reach @ Titiwangsa,"Jalan Tembaga Off Jalan Pahang, Titiwangsa, Kuala Lumpur",Condominium For Sale,"1,300,000",RM 519.79 psf,2501 sqft,n/a,Unfurnished,4,4
"Lexa Residence @ The Quartz, Wangsa Maju","- , Jalan 34/26 Jalan 34/26, Wangsa Maju, Kuala Lumpur",Condominium For Sale,"470,000",RM 755.63 psf,622 sqft,n/a,Fully Furnished,2,2
"Rm1800 monthly, Free Rm50k Furnish, 3R2B near Midvalley, Freehold 2Cp","Kerinchi, Bangsar South, Kuala Lumpur",Condominium For Sale,"460,000",RM 383.33 psf,1200 sqft,Middle Floor,n/a,3,2
"Rm1800 monthly to own Bangsar South New Condo, Residential Freehold, 5 mins to midvalley","Kerinchi, Bangsar South, Kuala Lumpur",Condominium For Sale,"460,000",RM 383.33 psf,1200 sqft,n/a,Fully Furnished,3,2
"Rm1800 monthly to own Bangsar South New Condo, Residential Freehold, 5 mins to midvalley","Bukit Jalil, Kuala Lumpur",Condominium For Sale,"450,000",RM 375.00 psf,1200 sqft,n/a,n/a,3,2
GenKL,"Jalan Kuchai 3, Kuchai Lama, Kuala Lumpur",Condominium For Sale,"2,800,000",RM 879.40 psf,3184 sqft,n/a,Unfurnished,4,5
UNIO Residence,"Jalan Kepong, Jinjang, Kepong, Kuala Lumpur",Condominium For Sale,"560,000",RM 646.65 psf,866 sqft,n/a,Partially Furnished,2,2
The Z Residence,"Jalan 5/155, Taman Industri Bukit OUG, Bukit Jalil, Bukit Jalil, Kuala Lumpur",Condominium For Sale,"750,000",RM 535.71 psf,1400 sqft,Low Floor,Unfurnished,3,2
[[RM588K]] 3 Bedroom Duplex 1300sf with spacious balcony,"Sri petaling , bukit jalil , old klang road, Old Klang Road (Kuchai Lama), Kuchai Lama, Kuala Lumpur",Condominium For Sale,"588,000",RM 587.41 psf,1001 sqft,High Floor,Fully Furnished,3,3
1 Sentul,"Jalan Sentul Pasar, Kuala Lumpur, Sentul, Kuala Lumpur",Condominium For Sale,"480,000",RM 444.03 psf,1081 sqft,n/a,Fully Furnished,3,2
The Capers,"- Jalan Lima, Sentul, Kuala Lumpur",Condominium For Sale,"940,000",RM 599.87 psf,1567 sqft,n/a,Partially Furnished,3,3
The Address @ Taman Desa,"Jalan Desa Bakti, Old Klang Road (Taman Desa), Taman Desa, Kuala Lumpur",Condominium For Sale,"745,000",RM 666.37 psf,1118 sqft,Middle Floor,Unfurnished,3,3
kuchai lama,"jalan kuchai lama, Old Klang Road (Kuchai Lama), Kuchai Lama, Kuala Lumpur",Condominium For Sale,"300,000",RM 545.45 psf,550 sqft,High Floor,Partially Furnished,2,1
UNIO Residence,"Jalan Kepong, Jinjang, Kepong, Kuala Lumpur",Apartment For Sale,"915,000",RM 697.94 psf,1311 sqft,n/a,Partially Furnished,3,3
Seringin Residences,"8 Jalan Senang Ria, Happy Garden, Kuchai Lama, Kuala Lumpur",Condominium For Sale,"998,000",RM 655.72 psf,1522 sqft,n/a,n/a,2,2
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,355,000","RM 1,935.71 psf",700 sqft,n/a,Partially Furnished,1,1
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"2,698,000","RM 2,278.72 psf",1184 sqft,n/a,Partially Furnished,3,3
"500m to Mid Valley, direct access to NPE Federal Hwy OKR, 0 DP free furnished RM3. 5k Salary to Own","Mid Valley City, Kuala Lumpur",Condominium For Sale,"470,900",RM 361.95 psf,1301 sqft,n/a,Fully Furnished,3,2
"500m to Mid Valley, direct access to NPE Federal Hwy OKR, 0 DP free furnished RM3. 5k Salary to Own","Taman Bangsar, Bangsar, Kuala Lumpur",Condominium For Sale,"470,900",RM 361.95 psf,1301 sqft,n/a,Fully Furnished,3,2
Fully Furnished Freehold Mid Valley | Monthly ONLY RM2. 1K! Walking to MRT/LRT/KTM | Residential,"Kerinchi, Bangsar South, Kuala Lumpur",Condominium For Sale,"458,000",RM 379.14 psf,1208 sqft,n/a,Fully Furnished,3,2
5 Min to Mid Valley | Fully Furnished | RM3. 5k Salary to Own | Walking Distance to MRT/LRT/KTM,"Taman Bangsar, Bangsar, Kuala Lumpur",Condominium For Sale,"560,800",RM 455.19 psf,1232 sqft,n/a,Fully Furnished,3,2
Fully Furnished Freehold Mid Valley | Monthly ONLY RM2. 1K! Walking to MRT/LRT/KTM | Residential,"Old Klang Road (Jalan Klang Lama), Kuala Lumpur",Condominium For Sale,"458,000",RM 379.14 psf,1208 sqft,n/a,Fully Furnished,3,2
5 Min to Mid Valley | Fully Furnished | RM3. 5k Salary to Own | Walking Distance to MRT/LRT/KTM,"Kerinchi, Bangsar South, Kuala Lumpur",Condominium For Sale,"460,800",RM 374.03 psf,1232 sqft,n/a,Fully Furnished,3,2
5 Min to Pavilion 2 Mid Valley | Fully Furnished | RM3. 5k Salary to Own | Have Shuttle Bus,"Jalan Klang Lama (Old Klang Road), Bukit Jalil, Kuala Lumpur",Condominium For Sale,"460,800",RM 374.03 psf,1232 sqft,n/a,Fully Furnished,3,2
"Direct link to Mid Valley, new access to NPE Federal Hwy OKR, 0 DP free furnish RM3. 5k Salary to Own","Jalan Klang Lama (Old Klang Road), Bukit Jalil, Kuala Lumpur",Condominium For Sale,"470,900",RM 361.95 psf,1301 sqft,n/a,Fully Furnished,3,2
"500m to Mid Valley, direct access to NPE Federal Hwy OKR, 0 DP free furnished RM3. 5k Salary to Own","Kerinchi, Bangsar South, Kuala Lumpur",Condominium For Sale,"470,900",RM 361.95 psf,1301 sqft,n/a,Fully Furnished,3,2
5 Min to Mid Valley | Fully Furnished | RM1. 8k Monthly to Own | Walking Distance to MRT/LRT/KTM,"Kerinchi, Bangsar South, Kuala Lumpur",Condominium For Sale,"460,800",RM 374.03 psf,1232 sqft,n/a,Fully Furnished,3,2
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,290,000","RM 2,067.31 psf",624 sqft,n/a,Partially Furnished,1,1
Fully Furnished Freehold | Monthly ONLY RM1. 8K! Walk to MRT/LRT/KTM | Residential Below Market Price,"Jalan Kiara, Mont Kiara, Kuala Lumpur",Condominium For Sale,"458,000",RM 379.14 psf,1208 sqft,n/a,Fully Furnished,3,2
10 Min to PJ Mid Valley | Fully Furnished | RM3. 5k Salary to Own | Walking Distance to MRT/LRT/KTM,"Solaris Dutamas, Mont Kiara, Kuala Lumpur",Condominium For Sale,"460,800",RM 374.03 psf,1232 sqft,n/a,Fully Furnished,3,2
"Rica Residence Sentul, KL","1 Residensi Rica Sentul, Jalan Perhentian, Batu, Sentul, Kuala Lumpur",Condominium For Sale,"720,000",RM 655.74 psf,1098 sqft,Middle Floor,Fully Furnished,3,3
Aira Residence,"Jalan Batai, Damansara Heights, Kuala Lumpur",Condominium For Sale,"8,377,000","RM 1,866.12 psf",4489 sqft,n/a,Partially Furnished,5,6
"Fully Furnished Corner Duplex Unit, The Veo KL East","Setapak, Kuala Lumpur",Condominium For Sale,"2,700,000",RM 742.17 psf,3638 sqft,n/a,Fully Furnished,4,5
